rights.code,rights
MERLCC,Copyright to this resource is owned by the Museum of English Rural Life and has been made available under Creative Commons. See https://merl.reading.ac.uk/commercial-services/content-licensing/
RA,"Reproduced with the permission of The Trustees of The Rothschild Archive. Copyright to this resource is held by The Rothschild Archive and is provided here for educational purposes only. It may not be downloaded, reproduced, or distributed in any format without the written permission of The Rothschild Archive."
FAO,"Copyright to this resource is held by the FAO and is provided here for educational purposes only. It may not be downloaded, reproduced, or distributed in any format without written permission of the FAO."
BMJ,"Copyright to this resource is held by the BMJ Publishing Group and is provided here for educational purposes only. It may not be downloaded, reproduced, or distributed in any format without written permission of the BMJ Publishing Group."
CU,"Copyright of this resource is held by The Baker Institute for Animal Health at Cornell University and is provided here for educational purposes only. It may not be downloaded, reproduced, or distributed in any format without written permission of Cornell University"
MIE,"Copyright of this resource is held by The Moredun Institute, Edinburgh and is provided here for educational purposes only. It may not be downloaded, reproduced, or distributed in any format without written permission of The Moredun Institute, Edinburgh"
CeComms,"Copyright and Use of eCommons Content: The Site includes text, images, graphics, information, articles, multi-media objects, scholarly projects, datasets, and other works protected by copyright, trademark and other laws (""Content""). Some of the Content on this site may include materials from older published works that have passed into the public domain under U.S. copyright law. Where such information is known, it is included specifically in the metadata associated with each item of Content. However, the Site itself and most of the materials held as Content on the Site are protected by copyright and other laws. These materials have been deposited in furtherance of the University's educational and research mission. Further, you have the responsibility to make your own assessment of the copyright or other legal concerns that might affect your use of eCommons content and to assume personal responsibility for your uses of Content. See http://guides.library.cornell.edu/ecommons/terms"
CComms3.0,Creative Commons Attribution-Share Alike 3.0 Unported
PubDom,The image is in the public domain.
CComms2.0,This file is licensed under the Creative Commons Attribution-Share Alike 2.0 Generic license.
Pexel,Pexels License.  All photos on Pexels are free to use.  Attribution is not required. Giving credit to the photographer or Pexels is not necessary but always appreciated.
Unsplash,"All photos published on Unsplash can be used for free. You can use them for commercial and noncommercial purposes. You do not need to ask permission from or provide credit to the photographer or Unsplash, although it is appreciated when possible."
Field,Photo taken by a member of the Field Project Team for use on the website